specie	formula	sistema_xx	status	sottogruppo	gruppo	supergruppo	famiglia	sottoclasse	classe
Calcioursilite	(Ca,Mg)4[(U6+O2)4(Si2O5)5(OH)6]·15H2O	Orthorhombic	Grandfathered		weeksite			uranyl nesosilicates	silicates
Calcioveatchite	SrCa[B5O8(OH)]2[B(OH)3]·H2O	Monoclinic	Approved		veatchite			pentaborates	borates
Calcite	Ca(CO3)	Trigonal	Grandfathered		calcite	calcite		carbonates	carbonates and nitrates
Calcjarlite	Na2(Ca,?)14(Mg,?)2Al12F64(OH)4	Monoclinic	Approved		jarlite			complex halides	halides
Calclacite	Ca(CH3COO)Cl·5H2O	Monoclinic	Grandfathered		calclacite			salts of organic acids	organic compounds
Calcurmolite	Ca(UO2)3(MoO4)3(OH)4(H2O)~5.0	Triclinic	Approved		calcurmolite			uranyl molybdates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Calcybeborosilite-(Y)	[(Y,Ce),Ca]2(B,Be)2[SiO4]2(OH,O)2	Monoclinic	Questionable		datolite	gadolinite		nesosilicates	"silicates 
[cluster]"
Calderite	{Mn2+3}[Fe3+2](Si3)O12	Cubic	Approved		garnet	garnet		nesosilicates	"silicates 
[cluster]"
Calderónite	Pb2Fe3+(VO4)2(OH)	Monoclinic	Approved	brackebuschite	brackebuschite	vauquelinite		vanadates	phosphates, arsenates, vanadates
Caledonite	Pb5Cu2(SO4)3(CO3)(OH)6	Orthorhombic	Grandfathered		caledonite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Calkinsite-(Ce)	(Ce,La)2(CO3)3·4H2O	Orthorhombic	Renamed	calkinsite	lanthanite			carbonates	carbonates and nitrates
Callaghanite	Cu2Mg2(CO3)(OH)6·2H2O	Monoclinic	Grandfathered		callaghanite			carbonates	carbonates and nitrates
Calomel	[Hg2]2+Cl2	Tetragonal	Grandfathered		calomel			chlorohalides	halides
Calumetite	CaCu4(OH)8Cl2·3.5H2O	Orthorhombic	Redefined		calumetite			oxyhalides, hydroxyhalides	halides
Calvertite	Cu5Ge0.5S4	Cubic	Approved		renierite		copper	sulfosalts	sulfides and sulfosalts
Calzirtite	Ca2Zr5Ti2O16	Tetragonal	Redefined		calzirtite		copper		oxides
Camanchacaite	Na?Ca(MgMg)[AsO4][AsO3(OH)]2	Monoclinic	Approved		alluaudite	alluaudite		arsenates	phosphates, arsenates, vanadates
Cámaraite	Ba3NaFe2+8Ti4(Si2O7)4O4(OH)4F3	Triclinic	Approved		bafertisite	seidozerite		sorosilicates	"silicates 
[cluster]"
Camaronesite	Fe3+2(PO3OH)2(SO4)(H2O)4·1-2H2O	Trigonal	Approved		taranakite			phosphates	phosphates, arsenates, vanadates
Camérolaite	Cu6Al3(OH)18(H2O)2[Sb(OH)6](SO4)	Triclinic	Renamed		cyanotrichite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Cameronite	Cu5?x(Cu,Ag)3+xTe10          (x = 0.43)	Monoclinic	Approved		cameronite		copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Camgasite	CaMg(AsO4)(OH)·5H2O	Monoclinic	Approved		camgasite			arsenates	phosphates, arsenates, vanadates
Caminite	Mg7(SO4)5(OH)4·H2O	Tetragonal	Approved		caminite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Campigliaite	Mn2+[Cu2+4(SO4)2(OH)6]·4H2O	Monoclinic	Approved		serpierite	lavendulan		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Campostriniite	(Bi3+,Na)(NH4)2Na2(SO4)6·H2O	Monoclinic	Approved		görgeyite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Canaphite	Na2Ca(P2O7)·4H2O	Monoclinic	Approved		canaphite			polyphosphates, polyarsenates, polyvanadates	phosphates, arsenates, vanadates
Canasite	K3Na3Ca5[Si12O30](OH)4	Monoclinic	Approved		canasite			inosilicates	"silicates 
[chain-ribbon]"
Canavesite	Mg2(CO3)[H(BO3)]·5H2O	Monoclinic	Approved		harkerite			unclassified borates	borates
Cancrinite	(Na,Ca,?)8(Al6Si6)O24](CO3,SO4)2?2H2O	Hexagonal	Grandfathered	cancrinite	cancrinite	cancrinite		tektosilicates	"silicates 
[framework]"
Cancrisilite	Na7[Al5Si7O24](CO3)·3H2O	Hexagonal	Approved	cancrinite	cancrinite	cancrinite		tektosilicates	"silicates 
[framework]"
Canfieldite	Ag8Sn4+S6	Orthorhombic	Grandfathered		argyrodite			sulfosalts	sulfides and sulfosalts
Cannizzarite	Pb8Bi10S23	Monoclinic	Grandfathered		cannizzarite	cannizzarite	copper	sulfosalts	sulfides and sulfosalts
Cannonite	Bi2O(SO4)(OH)2	Monoclinic	Approved		cannonite	cannonite	copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Canosioite	Ba2Fe3+(AsO4)2(OH)	Monoclinic	Approved	"arsen
brackebuschite"	brackebuschite	vauquelinite		arsenates	phosphates, arsenates, vanadates
Canutite	Na?Mn2+(Mn2+Mn2+)[AsO4][AsO3(OH)]2	Monoclinic	Approved		alluaudite	alluaudite		arsenates	phosphates, arsenates, vanadates
Caoxite	Ca(C2O4)·xH2O           (2.5 < x < 3.0)	Triclinic	Approved		caoxite			salts of organic acids	organic compounds
Capgaronnite	AgHgSCl	Orthorhombic	Approved		perroudite		copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Cappelenite-(Y)	Ba(Y,Ce)6Si3B6O24F2	Trigonal	Renamed		cappelenite			nesosilicates	"silicates 
[cluster]"
Capranicaite	KNaCaAl4B4Si2O18	Monoclinic	Approved		capranicaite			inosilicates	"silicates 
[chain-ribbon]"
Caracolite	Na2(NaPb2+2)(SO4)3Cl	Monoclinic	Grandfathered		hedyphane	apatite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Carboborite	Ca2Mg(CO3)2B2(OH)8·4H2O	Monoclinic	Approved		carboborite			monoborates	borates
Carbobystrite	Na16(Al12Si12O48)(CO3)2·8H2O	Trigonal	Approved	bystrite	cancrinite	cancrinite		tektosilicates	"silicates 
[framework]"
Carbocalumite	Ca4Al2(OH)12(CO3)·6H2O	Trigonal	Approved		chalcoalumite	hydrotalcite		carbonates	carbonates and nitrates
Carbocernaite	 CaSr(CO3)2	Monoclinic	Approved		carbocernaite			carbonates	carbonates and nitrates
Carboirite	Fe2+2Al4Ge2O10(OH)4	Triclinic	Approved	chloritoid	ottrélite			germanates	"silicates 
[cluster]"
Carbokentbrooksite	(Na,?)12(Na,Ce)3Ca6Mn2+3Zr3Nb(Si25O73)(OH)3(CO3)·H2O	Trigonal	Approved	eudialyte	eudialyte			cyclosilicates	"silicates 
[cluster]"
Carbonatecyanotrichite	Cu4Al2[(CO3,SO4)(OH)12]·2H2O	Monoclinic	Renamed		cyanotrichite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Cardite	Zn5.5(AsO4)2(AsO3OH)(OH)3·3H2O	Orthorhombic	Approved		cardite			arsenates	phosphates, arsenates, vanadates
Carducciite	(AgSb)Pb6(As,Sb)8S20	Monoclinic	Approved		dufrénoysite	sartorite	copper	sulfosalts	sulfides and sulfosalts
Caresite	Fe3+4Al2(CO3)(OH)12·3H2O	Trigonal	Approved		quintinite	hydrotalcite		carbonates	carbonates and nitrates
Carletonite	KNa4Ca4[Si8O18](CO3)4(OH)·H2O	Tetragonal	Approved		carletonite			phyllosilicates	"silicates 
[sheet]"
Carletonmooreite	Ni3Si	Cubic	Approved		wairauite	halite	copper	metal carbides, silicides, nitrides and phosphides	elements
Carlfrancisite	Mn2+3(Mn2+,Mg,Fe3+,Al)42[As3+O3]2(As5+O4)4[(Si,As5+)O4]6[(As5+,Si)O4]2(OH)42	Trigonal	Approved		mcgovernite	hematolite		arsenite-silicates	phosphates, arsenates, vanadates
Carlfriesite	CaTe4+2Te6+O8	Monoclinic	Approved		carlfriesite			arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Carlgieseckeite-(Nd) 	NaNdCa3(PO4)3F	Trigonal	Approved		belovite	apatite		phosphates	phosphates, arsenates, vanadates
Carlhintzeite	Ca2[AlF6F]·H2O	Triclinic	Approved	carlhintzeite	carlhintzeite	gearksutite		complex halides	halides
Carlinite	Tl+2S	Trigonal	Approved		carlinite			sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Carlosbarbosaite	(U6+O2)2Nb5+2O6(OH)2·2H2O	Orthorhombic	Approved		carlosbarbosaite	sideronatrite		uranyl hydroxides	oxides
Carlosruizite	K3Na5Mg5(SeO4)6(IO3)6·6H2O	Trigonal	Approved		carlosruizite			selenates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Carlosturanite	(Mg,Fe2+,Ti)21[(Si,Al)12O28(OH)4](OH)30·H2O	Monoclinic	Approved		carlosturanite	kaolin-serpentine		inosilicates	"silicates 
[chain-ribbon]"
Carlsbergite	CrN	Cubic	Approved		carlsbergite	copper	copper	metal carbides, silicides, nitrides and phosphides	elements
Carlsonite	(NH4)5Fe3+3O(SO4)6·7H2O	Triclinic	Approved		carlsonite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Carmeltazite	ZrAl2Ti3+4O11	Orthorhombic	Approved		carmeltazite	spinel	copper		oxides
Carmichaelite	(Ti4+,Cr3+,Fe2+)(O,OH)2	Monoclinic	Approved		carmichaelite		copper		oxides
Carminite	PbFe3+2(AsO4)2(OH)2	Orthorhombic	Grandfathered	carminite	carminite	vauquelinite		arsenates	phosphates, arsenates, vanadates
Carnallite	KMgCl3·6H2O	Orthorhombic	Grandfathered		carnallite		copper	chlorohalides	halides
Carnotite	K2(U6+O2)2(V5+O4)2·3H2O	Monoclinic	Grandfathered		carnotite	carnotite		uranyl sorovanadates	oxides
Carobbiite	KF	Cubic	Grandfathered		halite	halite	copper	fluorohalides	halides
Carpathite	C24H12	Monoclinic	Approved		carpathite			hydrocarbons	organic compounds
Carpholite	?Mn2+2Al4(Si2O6)2(OH)4(OH)4	Orthorhombic	Grandfathered		carlosbarbosaite			inosilicates	silicates
Carraraite	Ca6Ge2[(SO4)2(CO3)2(OH)12]·24H2O	Hexagonal	Approved		carlosbarbosaite	ettringite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Carrboydite	(Ni1-xAlx)(SO4)x/2(OH)2·nH2O          (x < 0.5; n > 3x/2)	Trigonal	Questionable		carlosbarbosaite	hydrotalcite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Carrollite	Cu1+(Co3+Co4+)S4	Cubic	Grandfathered	carrollite (1-3.5)	carlosbarbosaite	spinel	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Caryinite	NaCaCa(Mn2+Mn2+)(AsO4)3	Monoclinic	Approved		carlosbarbosaite	alluaudite		arsenates	phosphates, arsenates, vanadates
Caryochroite	[Na(Sr0.5Ca0.5)Mg]3[Fe3+8Mn(Fe2+0.5?0.5)]10(Ti2Si12)O37(OH)14(?2?)3	Monoclinic	Approved		carlosbarbosaite			sorosilicates	"silicates 
[cluster]"
Caryopilite	Mn2+3Si2O5(OH)4	Monoclinic	Approved		carlosbarbosaite	trioctahedral kaolin-serpentine	kaolin-serpentine	phyllosilicates	"silicates 
[sheet]"
Cascandite	?CaSc[Si3O8(OH)]	Triclinic	Approved	pectolite	carlosbarbosaite		3 chains pyroxenoid	inosilicates	"silicates 
[chain-ribbon]"
Caseyite	[(V5+O2)Al10-x(OH)20-2x(H2O)18-2x]2[H2V4+V5+9O28][V5+10O28]2(Na,K,Ca)2-y(SO4)2-z· (60+8x+y+4z)H2O          (x = 0-2.5; y = 0-2; z = 0-2)	Monoclinic	Approved		carlosbarbosaite	pascoite		arsenate-vanadates	phosphates, arsenates, vanadates
Cassagnaite	Ca4Fe3+4(OH)4V3+2(O,OH)4(SiO4)2(Si3O10)	Orthorhombic	Approved	cassagnaite	carlosbarbosaite	ardennite		sorosilicates	"silicates 
[cluster]"
Cassedanneite	Pb5[(Cr6+O4)2(VO4)2]·H2O	Monoclinic	Approved		carlosbarbosaite	mascagnite		chromates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Cassidyite	Ca2Ni(PO4)2·2H2O	Triclinic	Approved	fairfieldite	carlosbarbosaite	vauquelinite		phosphates	phosphates, arsenates, vanadates
Cassiterite	SnO2	Tetragonal	Grandfathered		rutile	rutile	copper		oxides
Castellaroite	Mn2+3[AsO4]2·4.5H2O	Monoclinic	Approved		castellaroite	ludlamite		arsenates	phosphates, arsenates, vanadates
Caswellsilverite	NaCrS2	Trigonal	Approved	caswellsilverite	delafossite		copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Catalanoite	Na2H[PO4]·8H2O	Orthorhombic	Approved		catalanoite			phosphates	phosphates, arsenates, vanadates
Catamarcaite	Cu12Ge2W2S16	Hexagonal	Approved		germanite		copper	sulfosalts	sulfides and sulfosalts
Catapleiite	Na2Zr[Si3O9]·2H2O	Monoclinic	Grandfathered	catapleiite	catapleiite			cyclosilicates	"silicates 
[cluster]"
Cattierite	CoS2	Cubic	Grandfathered		pyrite	pyrite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Cattiite	Mg3(PO4)2·22H2O	Triclinic	Approved		cattiite			phosphates	phosphates, arsenates, vanadates
Cavansite	Ca(VO)(Si4O10)·4H2O	Orthorhombic	Approved		cavansite			phyllosilicates	"silicates 
[sheet]"
Cavoite	CaV3O7	Orthorhombic	Approved		cavoite			"phyllo
vanadates"	oxides
Cayalsite-(Y)	CaY6Al2Si4O18F7	Orthorhombic	Approved		cayalsite				silicates
Caysichite-(Y)	Ca4Y4(OH)(H2O)5(Si8O20)(CO3)6·2H2O	Orthorhombic	Renamed		caysichite			inosilicates	"silicates 
[chain-ribbon]"
Cebaite-(Ce)	Ba3Ce2[(CO3)5F2]	Monoclinic	Renamed		cordylite		copper	carbonates	carbonates and nitrates
Cebollite	Ca5Al2(SiO4)3(OH)4	Orthorhombic	Questionable		leucophanite	melilite		sorosilicates	"silicates 
[cluster]"
?echite	PbFe2+(VO4)(OH)	Orthorhombic	Approved		descloizite	descloizite		vanadates	phosphates, arsenates, vanadates
?ejkaite	Na4(UO2)(CO3)3	Monoclinic	Approved		?ejkaite			uranyl carbonates	carbonates and nitrates
Celadonite	K(MgFe3+?)Si4O10(OH)2	Monoclinic	Approved	celadonite	dioctahedral mica	mica		phyllosilicates	"silicates 
[sheet]"
Celestine	Sr(SO4)	Orthorhombic	Approved		baryte	baryte		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Celleriite	?(Mn2+2Al)Al6(Si6O18)(BO3)3(OH)3(OH)	Trigonal	Approved	foitite	vacant tourmaline	tourmaline		cyclosilicates	"silicates 
[cluster]"
Celsian	Ba(Al2Si2)O8	Monoclinic	Grandfathered		orthoclase	feldspar		tektosilicates	"silicates 
[framework]"
Centennialite	Cu3Ca(OH)6Cl2?nH2O          (n ~ 0.7)	Trigonal	Approved		kapellasite	atacamite		oxyhalides, hydroxyhalides	halides
Cerchiaraite-(Al)	Ba4Al4O3(OH)3(Si4O12)[Si2O3(OH)4]Cl	Tetragonal	Approved		cerchiaraite	kainosite		cyclosilicates	"silicates 
[cluster]"
Cerchiaraite-(Fe)	Ba4Fe3+4O3(OH)3(Si4O12)[Si2O3(OH)4]Cl	Tetragonal	Approved		cerchiaraite	kainosite		cyclosilicates	"silicates 
[cluster]"
Cerchiaraite-(Mn)	Ba4Mn3+4O3(OH)3(Si4O12)[Si2O3(OH)4]Cl	Tetragonal	Renamed		cerchiaraite	kainosite		cyclosilicates	"silicates 
[cluster]"
Cerianite-(Ce)	Ce4+O2	Cubic	Renamed		uraninite	[fluorite]	copper		oxides
Cerite-(CeCa)	(Ce7Ca2)?Mg(SiO4)3(SiO3OH)4(OH)3	Trigonal	Redefined	cerite	cerite	cerite	copper	nesosilicates	"silicates 
[cluster]"
Cerium	Ce	Cubic	Questionable		cerium				elements
?ern?ite	Cu2CdSnS4	Tetragonal	Approved		stannite		copper	sulfosalts	sulfides and sulfosalts
Cerromojonite	CuPbBiSe3	Orthorhombic	Approved		bournonite		copper	sulfosalts	sulfides and sulfosalts
Ceruleite	Cu2+Al4(AsO4)2(OH)8·4H2O	Monoclinic	Renamed		ceruleite			arsenates	phosphates, arsenates, vanadates
Cerussite	Pb(CO3)	Orthorhombic	Grandfathered		aragonite	aragonite		carbonates	carbonates and nitrates
Cervandonite-(Ce)	(Ce,Nd,La)(Fe3+,Fe2+,Ti4+,Al)3O2(Si2O7)1-z(AsO3)1+z(OH)3z          (z = 0.16)	Trigonal	Approved		cervandonite			sorosilicates	"silicates 
[cluster]"
Cervantite	Sb3+Sb5+O4	Orthorhombic	Redefined		cervantite	stibiocolumbite	copper		oxides
Cervelleite	Ag4TeS	Monoclinic	Approved		eucairite	eucairite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Cesanite	Ca2Na3(SO4)3(OH)	Hexagonal	Approved		hedyphane	apatite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Césarferreiraite	Fe2+(H2O)4[Fe3+2(H2O)2(AsO4)2(OH)2](H2O)2	Triclinic	Renamed	césarferreiraite	maghrebite	laueite		arsenates	phosphates, arsenates, vanadates
Cesàrolite	PbMn4+3O6(OH)2	Hexagonal	Grandfathered		ranciéite			hydroxides	oxides
Cesbronite	Cu2+3Te6+O4(OH)4	Orthorhombic	Redefined		cesbronite			arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Cesiodymite	(CsK)Cu5O(SO4)5	Triclinic	Approved		cryptocalcite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Cesiokenopyrochlore	?Nb2(O,OH)6Cs1-x	Cubic	Approved		pyrochlore	pyrochlore	copper		oxides
Cesplumtantite	(Cs,Na)2(Pb,Sb3+)3Ta8O24	Tetragonal	Approved		tantite				oxides
Cetineite	~NaK5(Sb2O3)6(SbS3)2·6H2O	Hexagonal	Approved		cetineite			sulfosalts	sulfides and sulfosalts
Chabazite-Ca	(Ca,K,?)[Si4Al2O12]·6H2O	Trigonal	Approved		chabazite	zeolite		tektosilicates	"silicates 
[framework]"
Chabazite-K	(K,Na,Ca)2[Si4Al2O12]·6H2O	Trigonal	Approved		chabazite	zeolite		tektosilicates	"silicates 
[framework]"
Chabazite-Mg	(Mg0.7K0.5Ca0.5Na0.1)[Al3Si9O24]·10H2O	Trigonal	Approved		chabazite	zeolite		tektosilicates	"silicates 
[framework]"
Chabazite-Na	(Na,K,Ca)2[Si4Al2O12]·6H2O	Trigonal	Approved		chabazite	zeolite		tektosilicates	"silicates 
[framework]"
Chabazite-Sr	(Sr,Ca)[Si4Al2O12]·6H2O	Trigonal	Approved		chabazite	zeolite		tektosilicates	"silicates 
[framework]"
Chabournéite	AgzTl8-x-zPb4+2xSb40-x-yAsyS68          (with 0.00 ? x ? 0.40, 16.15 ? y ? 19.11, 0.04 ? z ? 0.11).	Triclinic	Redefined		chabournéite	sartorite	copper	sulfosalts	sulfides and sulfosalts
Chadwickite	(UO2)H(As3+O3)	Tetragonal	Approved		chadwickite			uranyl arsenites	oxides
Chaidamuite	ZnFe3+(SO4)2(OH)·4H2O	Triclinic	Approved		guildite	sideronatrite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Chalcanthite	Cu2+(SO4)·5H2O	Triclinic	Grandfathered		chalcanthite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Chalcoalumite	CuAl4(SO4)(OH)12·3H2O	Monoclinic	Grandfathered		chalcoalumite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Chalcocite	Cu+2S	Monoclinic	Grandfathered	chalcocite	chalcocite	[fluorite]	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Chalcocyanite	Cu2+(SO4)	Orthorhombic	Grandfathered		chalcocyanite	chalcocyanite	copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Chalcomenite	Cu(SeO3)·2H2O	Orthorhombic	Grandfathered		chalcomenite	chalcomenite		arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Chalconatronite	Na2Cu(CO3)2·3H2O	Monoclinic	Grandfathered		chalconatronite			carbonates	carbonates and nitrates
Chalcophanite	ZnMn4+3O7·3H2O	Trigonal	Grandfathered		chalcophanite	chalcophanite		hydroxides	oxides
Chalcophyllite	[Cu9Al(AsO4)2(OH)12(H2O)6](SO4)1.5·12H2O	Trigonal	Grandfathered	chalcophyllite	chalcophyllite			arsenates	phosphates, arsenates, vanadates
Chalcopyrite	Cu+Fe3+S2	Tetragonal	Grandfathered		chalcopyrite	chalcopyrite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Chalcosiderite	Cu2+Fe3+6(PO4)4(OH)8·4H2O	Triclinic	Grandfathered	turquoise	turquoise			phosphates	phosphates, arsenates, vanadates
Chalcostibite	CuSbS2	Orthorhombic	Grandfathered	chalcostibite	chalcostibite			sulfosalts	sulfides and sulfosalts
Chalcothallite	(Cu,Fe,Ag)6.3(Tl,K)2SbS4	Orthorhombic	Approved		chalcothallite		copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Challacolloite	KPb2Cl5	Monoclinic	Approved		challacolloite			chlorohalides	halides
Chambersite	Mn2+3[B7O13Cl]	Orthorhombic	Approved	boracite	boracite			heptaborates and other megaborates	borates
Chaméanite	Cu4AsSe4	Cubic	Approved		eulytine			sulfosalts	sulfides and sulfosalts
Chamosite	(Fe2+,Fe3+)5Al[(Si3Al)O10](OH,O)8	Monoclinic	Grandfathered	chamosite	chlorite			phyllosilicates	"silicates 
[sheet]"
Chanabayaite	Cu(N3C2H2)(NH3)Cl·0.25H2O	Orthorhombic	Approved		chanabayaite			unclassified organic compounds	organic compounds
Changbaiite	PbNb2O6	Trigonal	Approved		changbaiite				oxides
Changchengite	Ir[BiS]	Cubic	Approved		cobaltite	pyrite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Changesite-(Y)	(Ca8Y)?Fe2+(PO4)7?	Trigonal	Approved	merrillite	merrillite	cerite	copper	phosphates	phosphates, arsenates, vanadates
Changoite	Na2Zn(SO4)2·4H2O	Monoclinic	Approved		blödite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Chantalite	CaAl2(SiO4)(OH)4	Tetragonal	Approved		chantalite			nesosilicates	"silicates 
[cluster]"
Chaoite	C	Hexagonal	Approved		graphite			metalloids and nonmetals	elements
Chapmanite	Sb3+Fe3+2(SiO4)2(OH)	Monoclinic	Approved		bismutoferrite			phyllosilicates	"silicates 
[sheet]"
Charleshatchettite	CaNb4O10(OH)2·8H2O	Monoclinic	Approved		franconite			hydroxides	oxides
Charlesite	Ca6(Al,Si)2{(SO4)2[B(OH)4](OH,O)12}·(24+2)H2O	Trigonal	Approved		ettringite	ettringite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Charmarite	Mn4Al2(CO3)(OH)12·3H2O	Trigonal	Approved		quintinite	hydrotalcite		carbonates	carbonates and nitrates
Charoite	(K,S)15-16(Ca,Na)32{[Si6O11(O,OH)6]2[Si12O18(O,OH)12)]2[Si17O25(O,OH)18]2}(OH,F)4(H2O)3	Monoclinic	Approved	charoite	miserite			inosilicates	"silicates 
[chain-ribbon]"
Chatkalite	Cu+12[Fe2+2Sn4+4]S16	Tetragonal	Approved		mawsonite		copper	sulfosalts	sulfides and sulfosalts
Chayesite	KMg4Fe3+[Si12O30]	Hexagonal	Approved		milarite			cyclosilicates	"silicates 
[cluster]"
Chegemite	Ca7(SiO4)3(OH1.5F0.5)S=2	Orthorhombic	Approved		humite	humite	copper	nesosilicates	"silicates 
[cluster]"
Chekhovichite	Bi3+2Te4+4O11	Monoclinic	Approved		smirnite		copper	arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Chelkarite	CaMg[B2O4Cl2]·7H2O	Orthorhombic	Approved		chelkarite			unclassified borates	borates
Chenevixite	Cu2+Fe3+(AsO4)(OH)2	Monoclinic	Grandfathered		chenevixite			arsenates	phosphates, arsenates, vanadates
Chengdeite	FeIr3	Cubic	Approved	auricupride	B-site vacant single antiperovskites X?A3	perovskite	copper	metals and intermetallic alloys	elements
Chenguodaite	Ag9FeTe2S4	Orthorhombic	Approved		chenguodaite			sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Chenite	Cu2+Pb2+4(SO4)2(OH)6	Triclinic	Approved		chenite	linarite	copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Chenmingite	Fe2+Cr3+2O4	Orthorhombic	Approved		marokite	marokite	copper		oxides
Chenowethite	Mg(H2O)6[(UO2)2(SO4)2(OH)2]?5H2O	Orthorhombic	Approved		johannite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Cheralite	CaTh(PO4)2	Monoclinic	Redefined	monazite	monazite			phosphates	phosphates, arsenates, vanadates
Cheremnykhite	Pb3Zn3(Te6+O6)(VO4)2	Trigonal	Approved		dugganite			vanadates	phosphates, arsenates, vanadates
Cherepanovite	RhAs	Orthorhombic	Approved		modderite	modderite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Chernikovite	(H3O)2[(U6+O2)(PO4)]2·6H2O	Tetragonal	Approved	meta-autunite	meta-autunite			uranyl phosphates	phosphates, arsenates, vanadates
Chernovite-(Y)	Y(AsO4)	Tetragonal	Renamed		xenotime	zircon	copper	arsenates	phosphates, arsenates, vanadates
Chernykhite	Ba(V3+2?)(Al2Si2)O10(OH)2	Monoclinic	Approved	margarite	dioctahedral mica	mica		phyllosilicates	"silicates 
[sheet]"
Cherokeeite	[Pb2Zn(OH)4](SO4)·H2O	Monoclinic	Approved		cherokeeite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Chervetite	Pb2(V5+2O7)	Monoclinic	Approved		chervetite		diphosphates	polyphosphates, polyarsenates, polyvanadates	phosphates, arsenates, vanadates
Chesnokovite	Na2[SiO2(OH)2]·8H2O 	Orthorhombic	Approved		chesnokovite			nesosilicates	"silicates 
[cluster]"
Chessexite	Na4Ca2(Mg,Zn)3Al8[(SiO4)2(SO4)10(OH)10]·40H2O	Orthorhombic	Approved		chessexite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Chesterite	(Mg,Fe2+)17Si20O54(OH)6	Orthorhombic	Approved		pyribole			inosilicates	"silicates 
[chain-ribbon]"
Chestermanite	Mg2Fe3+O2(BO3)	Orthorhombic	Approved	orthopinakiolite	ludwigite	ludwigite		monoborates	borates
Chevkinite-(Ce)	Ce4Fe2+Fe3+2Ti4+2O8(Si2O7)2	Monoclinic	Renamed		chevkinite	chevkinite	copper	sorosilicates	"silicates 
[cluster]"
Chiappinoite-(Y)	Y2Mn(Si3O7)4	Orthorhombic	Approved		chiappinoite			phyllosilicates	"silicates 
[sheet]"
Chiavennite	CaMn2+[Si5Be2O13(OH)2]·2H2O	Monoclinic	Approved		chiavennite	zeolite		tektosilicates	"silicates 
[framework]"
Chibaite	SiO2·n(CH4,C2H6,C3H8,C4H10)          (nmax = 3/17)	Cubic	Approved		chibaite			silica clathrates	oxides
Chihmingite	NiAl2O4	Cubic	Approved	spinel (2-3)	oxyspinel	spinel	copper		oxides
